regex_cats,token,feature,regex_meta
ART,a,,
ART,an,,
ART,the,,
BE,'m,,AUX
BE,'re,,AUX
BE,s,,AUX
BE,am,,AUX
BE,are,,AUX
BE,aren't,,AUX
BE,been,,AUX
BE,being,,AUX
BE,i'm,,AUX
BE,is,,AUX
BE,isn't,,AUX
BE,they're,,AUX
BE,was,,AUX
BE,wasn't,,AUX
BE,we're,,AUX
BE,were,,AUX
BE,weren't,,AUX
BE,you're,,AUX
CONJ,alternatively,f45_Conjuncts,
CONJ,altogether,f45_Conjuncts,
CONJ,as a consequence,f45_Conjuncts,
CONJ,as a result,f45_Conjuncts,
CONJ,by comparison,f45_Conjuncts,
CONJ,by contrast,f45_Conjuncts,
CONJ,consequently,f45_Conjuncts,
CONJ,conversely,f45_Conjuncts,
CONJ,e.g.,f45_Conjuncts,
CONJ,eg,f45_Conjuncts,
CONJ,else,f45_Conjuncts,
CONJ,for example,f45_Conjuncts,
CONJ,for instance,f45_Conjuncts,
CONJ,furthermore,f45_Conjuncts,
CONJ,hence,f45_Conjuncts,
CONJ,however,f45_Conjuncts,
CONJ,i.e.,f45_Conjuncts,
CONJ,in addition,f45_Conjuncts,
CONJ,in any case,f45_Conjuncts,
CONJ,in any event,f45_Conjuncts,
CONJ,in comparison,f45_Conjuncts,
CONJ,in conclusion,f45_Conjuncts,
CONJ,in consequence,f45_Conjuncts,
CONJ,in contrast,f45_Conjuncts,
CONJ,in other words,f45_Conjuncts,
CONJ,in particular,f45_Conjuncts,
CONJ,in sum,f45_Conjuncts,
CONJ,in summary,f45_Conjuncts,
CONJ,instead,f45_Conjuncts,
CONJ,likewise,f45_Conjuncts,
CONJ,moreover,f45_Conjuncts,
CONJ,namely,f45_Conjuncts,
CONJ,nevertheless,f45_Conjuncts,
CONJ,nonetheless,f45_Conjuncts,
CONJ,notwithstanding,f45_Conjuncts,
CONJ,on the contrary,f45_Conjuncts,
CONJ,on the other hand,f45_Conjuncts,
CONJ,otherwise,f45_Conjuncts,
CONJ,rather,f45_Conjuncts,
CONJ,similarly,f45_Conjuncts,
CONJ,therefore,f45_Conjuncts,
CONJ,thus,f45_Conjuncts,
CONJ,viz,f45_Conjuncts,
DEM,that,f51_Demonstratives,
DEM,these,f51_Demonstratives,
DEM,this,f51_Demonstratives,
DEM,those,f51_Demonstratives,
DO,did,,AUX
DO,didn't,,AUX
DO,do,,AUX
DO,does,,AUX
DO,doesn't,,AUX
DO,doing,,AUX
DO,don't,,AUX
DO,done,,AUX
HAVE,'d,,AUX
HAVE,'ve,,AUX
HAVE,had,,AUX
HAVE,hadn't,,AUX
HAVE,has,,AUX
HAVE,hasn't,,AUX
HAVE,have,,AUX
HAVE,haven't,,AUX
HAVE,having,,AUX
HER,her,f8_ThirdPersonPronouns,PRO
IT,it,f9_PronounIT,PRO
MODAL,'ll,f54_PredictiveModals,AUX
MODAL,can,f52_PossibilityModals,AUX
MODAL,can't,f52_PossibilityModals,AUX
MODAL,cannot,f52_PossibilityModals,AUX
MODAL,could,f52_PossibilityModals,AUX
MODAL,couldn't,f52_PossibilityModals,AUX
MODAL,couldnot,f52_PossibilityModals,AUX
MODAL,may,f52_PossibilityModals,AUX
MODAL,might,f52_PossibilityModals,AUX
MODAL,mightn't,f52_PossibilityModals,AUX
MODAL,mightnot,f52_PossibilityModals,AUX
MODAL,must,f53_NecessityModals,AUX
MODAL,mustn't,f53_NecessityModals,AUX
MODAL,mustnot,f53_NecessityModals,AUX
MODAL,shall,f54_PredictiveModals,AUX
MODAL,should,f54_PredictiveModals,AUX
MODAL,shouldn't,f54_PredictiveModals,AUX
MODAL,shouldnot,f54_PredictiveModals,AUX
MODAL,will,f54_PredictiveModals,AUX
MODAL,willnot,f54_PredictiveModals,AUX
MODAL,won't,f54_PredictiveModals,AUX
MODAL,would,f54_PredictiveModals,AUX
MODAL,wouldn't,f54_PredictiveModals,AUX
MODAL,wouldnot,f54_PredictiveModals,AUX
NEG,not,f67_AnalyticNegation,
OBJPRO,him,f8_ThirdPersonPronouns,PRO
OBJPRO,me,f6_FirstPersonPronouns,PRO
OBJPRO,them,f8_ThirdPersonPronouns,PRO
OBJPRO,us,f6_FirstPersonPronouns,PRO
POSSPRO,his,f8_ThirdPersonPronouns,PRO
POSSPRO,its,f9_PronounIT,PRO
POSSPRO,my,f6_FirstPersonPronouns,PRO
POSSPRO,our,f6_FirstPersonPronouns,PRO
POSSPRO,their,f8_ThirdPersonPronouns,PRO
POSSPRO,your,f7_SecondPersonPronouns,PRO
PREP,against,f39_Prepositions,
PREP,amid,f39_Prepositions,
PREP,amidst,f39_Prepositions,
PREP,among,f39_Prepositions,
PREP,amongst,f39_Prepositions,
PREP,at,f39_Prepositions,
PREP,besides,f39_Prepositions,
PREP,between,f39_Prepositions,
PREP,by,f39_Prepositions,
PREP,despite,f39_Prepositions,
PREP,during,f39_Prepositions,
PREP,except,f39_Prepositions,
PREP,for,f39_Prepositions,
PREP,from,f39_Prepositions,
PREP,in,f39_Prepositions,
PREP,into,f39_Prepositions,
PREP,minus,f39_Prepositions,
PREP,of,f39_Prepositions,
PREP,off,f39_Prepositions,
PREP,on,f39_Prepositions,
PREP,onto,f39_Prepositions,
PREP,opposite,f39_Prepositions,
PREP,out,f39_Prepositions,
PREP,per,f39_Prepositions,
PREP,plus,f39_Prepositions,
PREP,pro,f39_Prepositions,
PREP,re,f39_Prepositions,
